respid,int_date,state,usr,gender,internetuse,Give_up_TV,Give_up_cellphone,Give_up_internet,give_up_socialmedia,age,educ2,emplnw,inc
325,180105,34,S,Female,Yes,4,3,2,NaN,45,6,4,8
327,180105,51,R,Male,Yes,3,3,3,3,58,3,1,6
328,180105,12,S,Male,Yes,4,1,1,3,46,3,4,6
329,180105,36,U,Male,Yes,3,1,2,1,22,3,4,4
330,180105,12,R,Male,Yes,1,NaN,3,3,46,3,1,3
331,180105,39,S,Female,Yes,2,2,3,3,64,8,3,99
332,180105,12,S,Male,Yes,2,1,1,3,80,7,3,8
333,180105,37,U,Female,Yes,1,NaN,3,NaN,70,3,3,99
335,180105,17,S,Male,Yes,1,1,1,4,74,7,5,9
337,180105,17,U,Female,No,5,NaN,NaN,NaN,68,5,3,9
338,180105,17,S,Female,Yes,4,1,1,3,54,3,2,4
339,180105,13,U,Female,Yes,4,1,1,4,22,4,7,9
340,180105,51,S,Female,Yes,1,1,1,1,67,3,3,7
341,180105,13,R,Male,Yes,1,1,1,1,62,6,1,5
342,180105,42,S,Female,Yes,3,2,3,2,66,3,1,6
343,180105,26,R,Male,No,1,NaN,NaN,NaN,74,3,3,3
344,180105,51,R,Male,No,3,NaN,NaN,NaN,73,3,3,99
345,180105,47,S,Female,Yes,2,4,1,4,68,4,3,6
346,180109,5,S,Male,Yes,2,2,2,4,69,5,3,7
347,180105,17,U,Female,No,4,NaN,NaN,NaN,99,3,4,99
349,180105,48,S,Male,Yes,1,2,1,NaN,73,5,3,6
350,180105,19,S,Male,Yes,2,1,1,4,61,7,1,9
351,180105,48,R,Male,Yes,4,4,4,4,29,2,1,4
353,180105,47,R,Male,No,4,4,NaN,NaN,54,2,1,4
354,180105,20,S,Male,Yes,1,1,1,3,78,3,3,8
356,180105,29,S,Female,Yes,1,2,2,NaN,80,6,3,6
357,180105,55,R,Female,Yes,1,4,4,NaN,72,3,3,1
358,180105,8,R,Female,Yes,4,2,2,NaN,65,3,3,3
359,180105,4,S,Female,Yes,2,2,2,NaN,80,6,3,7
360,180105,8,U,Male,Yes,1,1,3,4,71,6,3,8
361,180105,16,S,Male,Yes,4,3,3,3,52,6,1,8
362,180105,6,S,Female,Yes,2,1,1,3,66,4,3,7
365,180105,6,R,Female,Yes,2,3,3,3,71,6,3,5
366,180105,6,U,Male,Yes,2,4,2,NaN,46,7,1,9
367,180105,6,S,Female,No,2,NaN,NaN,NaN,93,3,3,3
368,180105,32,U,Male,Yes,1,NaN,1,NaN,55,6,3,9
369,180105,6,S,Male,Yes,1,2,2,NaN,67,8,3,2
370,180105,6,R,Female,Yes,4,4,3,4,66,3,3,3
371,180105,6,S,Male,Yes,2,4,4,NaN,68,6,3,99
372,180105,53,U,Female,Yes,1,2,1,2,83,4,3,3
374,180105,32,U,Male,Yes,4,4,4,NaN,19,3,1,98
375,180105,6,U,Male,Yes,2,2,2,NaN,70,6,3,9
376,180105,32,U,Male,Yes,4,4,2,NaN,75,2,3,8
378,180106,6,S,Male,Yes,4,NaN,1,2,70,6,3,99
379,180106,42,U,Female,Yes,1,1,1,2,58,2,1,98
381,180106,42,S,Female,Yes,1,1,6,3,67,4,6,2
382,180106,24,S,Male,Yes,2,1,1,2,43,4,1,99
383,180106,47,U,Male,Yes,1,NaN,1,NaN,75,7,3,5
384,180109,48,R,Female,No,4,4,NaN,NaN,58,1,4,1
385,180106,48,S,Male,No,2,2,NaN,NaN,81,3,3,2
386,180106,1,S,Male,Yes,3,1,1,NaN,79,3,1,9
387,180106,17,R,Male,No,3,3,NaN,NaN,82,5,3,99
388,180106,17,S,Male,No,4,NaN,NaN,NaN,75,1,3,98
389,180106,48,S,Female,Yes,3,3,3,3,52,4,4,3
390,180106,2,R,Male,No,3,NaN,NaN,NaN,56,2,1,99
391,180106,34,S,Male,Yes,3,4,1,NaN,63,6,3,99
392,180106,6,U,Female,Yes,3,3,2,3,99,4,1,7
393,180106,6,S,Female,Yes,2,3,2,NaN,66,5,3,6
394,180106,6,S,Female,Yes,2,1,1,2,70,5,3,2
395,180106,6,U,Female,No,1,NaN,NaN,NaN,89,1,3,98
396,180106,53,U,Male,No,1,NaN,NaN,NaN,55,2,1,2
397,180106,2,R,Male,Yes,4,1,1,NaN,62,6,1,6
398,180106,2,U,Female,Yes,2,2,1,3,69,6,3,99
399,180106,20,S,Female,Yes,2,4,2,4,51,4,4,1
401,180106,55,U,Female,Yes,1,1,1,1,81,6,3,6
402,180106,6,U,Female,Yes,3,2,1,3,30,3,1,4
404,180106,18,S,Female,Yes,3,2,3,NaN,88,4,3,7
405,180106,48,U,Female,Yes,4,4,4,NaN,68,5,1,6
406,180106,6,U,Female,Yes,1,2,2,NaN,49,5,1,6
407,180106,15,U,Female,Yes,1,2,1,NaN,79,3,3,6
408,180106,4,U,Male,Yes,3,3,3,NaN,70,7,3,3
410,180106,48,U,Female,No,1,NaN,NaN,NaN,58,3,4,1
411,180110,26,S,Female,No,2,2,NaN,NaN,87,3,3,8
416,180107,26,S,Female,Yes,1,4,3,NaN,88,4,3,99
417,180107,13,U,Female,Yes,3,1,1,4,18,3,4,1
419,180107,34,S,Female,Yes,1,3,4,NaN,65,3,3,3
420,180107,26,S,Female,Yes,3,1,5,3,64,8,1,8
421,180107,39,S,Female,Yes,3,1,3,NaN,69,3,1,6
422,180107,36,R,Female,Yes,5,1,5,3,65,6,1,99
423,180107,45,S,Male,Yes,1,2,2,2,65,99,6,99
424,180107,45,S,Male,No,4,4,4,NaN,79,2,3,98
425,180107,39,S,Male,Yes,5,5,5,3,48,5,5,7
426,180107,13,S,Male,Yes,4,3,3,3,46,4,2,6
427,180107,50,R,Male,Yes,3,2,2,NaN,99,99,99,99
428,180107,36,U,Male,Yes,3,1,2,4,37,3,1,6
429,180107,13,U,Male,Yes,2,2,2,3,80,3,2,2
430,180107,36,U,Female,Yes,1,1,5,3,62,6,1,5
431,180107,39,S,Female,Yes,4,3,2,3,62,3,3,99
432,180107,12,S,Male,Yes,4,6,4,NaN,80,3,3,99
433,180107,21,S,Male,Yes,5,3,3,NaN,63,6,5,6
434,180107,42,S,Male,Yes,2,4,4,NaN,80,8,3,4
435,180107,1,S,Male,No,2,NaN,NaN,NaN,69,4,3,7
436,180107,12,S,Male,No,4,4,4,4,99,99,3,99
437,180107,17,S,Female,Yes,3,3,2,NaN,68,6,3,9
439,180107,25,U,Female,No,1,1,4,NaN,67,3,3,1
440,180107,13,S,Male,Yes,2,2,2,NaN,61,6,1,9
441,180107,20,S,Female,Yes,2,NaN,4,4,59,3,1,2
442,180107,17,S,Female,Yes,1,4,3,NaN,84,6,3,3
443,180107,24,S,Female,Yes,2,NaN,3,NaN,40,4,4,1
444,180107,17,S,Female,Yes,2,1,1,4,51,6,1,9
445,180107,36,S,Male,Yes,1,1,1,NaN,54,6,1,9
446,180107,24,S,Male,Yes,1,1,1,NaN,64,6,1,7
447,180107,24,S,Male,Yes,2,2,3,NaN,50,3,1,7
448,180107,20,U,Female,Yes,1,1,1,2,70,6,3,6
449,180107,2,S,Male,No,1,1,NaN,NaN,89,6,3,99
450,180107,20,R,Female,No,4,4,NaN,NaN,64,4,3,1
451,180107,48,S,Female,Yes,2,3,3,NaN,51,7,2,4
452,180107,45,S,Male,Yes,4,2,1,NaN,37,6,4,8
454,180107,6,R,Female,Yes,1,4,4,1,59,3,2,1
455,180107,6,U,Female,Yes,2,1,1,3,60,8,3,99
457,180107,6,U,Male,Yes,2,1,1,2,54,6,1,8
458,180108,34,S,Female,No,1,1,NaN,NaN,73,2,3,98
459,180108,36,R,Male,Yes,4,4,3,NaN,69,3,3,3
460,180108,12,S,Male,Yes,1,3,2,NaN,69,5,3,8
463,180108,34,S,Male,Yes,3,3,3,3,47,4,1,5
464,180108,13,S,Female,Yes,2,4,3,4,68,6,3,99
465,180108,24,U,Female,Yes,1,3,3,NaN,61,3,1,98
466,180108,26,U,Female,Yes,2,4,1,2,62,7,1,99
467,180108,39,S,Female,No,1,NaN,NaN,NaN,65,4,3,98
468,180108,34,S,Male,Yes,1,2,1,3,57,8,1,8
469,180108,50,R,Female,Yes,2,4,2,4,25,3,2,5
470,180108,42,S,Male,Yes,6,1,1,2,25,6,2,3
471,180108,37,R,Male,No,4,2,NaN,NaN,82,5,3,99
472,180108,21,S,Male,Yes,2,2,2,3,53,8,2,9
473,180108,51,S,Female,Yes,2,2,1,3,52,6,2,9
475,180108,51,S,Male,Yes,2,2,2,NaN,58,6,1,8
477,180108,31,U,Female,Yes,1,NaN,3,NaN,70,3,3,99
478,180108,48,S,Female,Yes,1,1,3,NaN,69,6,3,7
479,180108,5,R,Female,Yes,2,2,1,2,35,4,2,3
480,180108,27,R,Female,No,1,NaN,NaN,NaN,80,3,3,6
481,180108,26,S,Male,Yes,4,3,3,NaN,66,7,1,99
482,180108,22,U,Female,Yes,1,3,3,4,57,2,1,3
483,180108,48,U,Male,Yes,1,2,2,NaN,76,4,3,6
485,180108,39,S,Female,No,4,2,NaN,4,81,3,3,2
486,180108,31,U,Male,Yes,3,4,4,NaN,99,99,99,99
487,180108,27,U,Female,No,4,NaN,NaN,NaN,58,6,1,9
488,180108,18,S,Female,Yes,1,1,1,3,67,3,3,7
489,180108,48,U,Male,Yes,1,1,5,2,84,6,3,8
490,180108,40,S,Female,No,1,NaN,NaN,NaN,80,3,3,2
491,180108,41,S,Female,Yes,2,3,3,3,66,2,3,2
493,180108,41,U,Female,Yes,1,2,1,2,69,6,3,5
494,180108,8,S,Female,No,1,2,NaN,NaN,92,3,3,3
495,180109,42,S,Female,Yes,1,2,1,4,84,99,99,99
496,180109,36,U,Male,No,1,NaN,NaN,NaN,74,6,3,7
497,180109,42,R,Male,No,3,4,NaN,NaN,73,3,3,99
498,180109,39,S,Female,No,1,2,NaN,NaN,75,3,3,99
501,180109,37,S,Male,No,1,NaN,NaN,NaN,64,2,3,99
505,180109,36,R,Female,Yes,3,1,1,2,43,5,1,8
506,180109,37,U,Female,Yes,1,2,3,4,76,6,3,6
507,180109,37,U,Female,Yes,1,8,3,4,74,5,3,7
